NUM,y,x1,x2,x3,x4
1,0.9,31.3,18.9,43.0,40.9
2,1.7,13.4,13.7,64.7,40.5
3,0.7,4.5,18.5,24.0,38.9
4,1.7,10,4.8,50.2,38.5
5,2.6,20,21.8,106.0,37.3
6,1.3,15,5.8,96.6,26.5
7,4.1,137.1,99.0,347.0,37.0
8,1.6,17.9,20.1,85.6,36.8
9,6.9,165.4,60.6,745,36.3
10,0.4,2,1.4,4.1,35.3
11,1.3,6.8,8.0,26.8,35.3
12,1.9,27.1,18.9,42.7,35
13,1.9,13.4,13.2,61.8,26.2
14,1.4,9.8,12.6,212,33.1
15,0.4,19.5,12.2,105,32.7
16,0.8,6.8,3.2,33.5,32.1
17,1.8,27,13.0,142,30.5
18,0.9,12.4,6.9,96,29.8
19,1.1,17.7,15,140,25.4
20,1.9,12.7,11.9,59.3,29.3
21,-0.9,21.4,1.6,131,29.2
22,1.3,13.5,8.6,70.7,29.2
23,2.0,13.4,11.5,65.4,29.1
24,0.6,4.2,1.9,23.1,27.9
25,0.7,15.5,5.8,80.8,27.2
