"Страна " "Душевой доход (по паритету покупательной способности валют), долл. США, (у)" "Индекс человеческого развития (ИЧР), (х1)" "Индекс человеческой бедности (ИЧБ), (х2)"
ОАЭ 1600 0,866 14,9
Тайланд 7100 0,833 11,7
Уругвай 6750 0,833 11,7
Ливия 6130 0,801 18,8
Колумбия 6110 0,848 10,7
Иордания 4190 0,73 10,9
Египет 3850 0,514 34,8
Марокко 3680 0,566 41,7
Перу 3650 0,717 22,8
Шри-Ланка 3280 0,711 20,7
Филиппины 2680 0,672 17,7
Боливия 2600 0,589 22,5
Китай 2600 0,626 17,5
Зимбабве 2200 0,513 17,3
Пакистан 2150 0,445 46,8
Уганда 1370 0,328 41,3
Нигерия 1350 0,393 41,6
Индия 1350 0,446 36,7
