Station,Longitude,Latitude
Уручье,27.687676,53.945565
Борисовский тракт,27.666206,53.938850
Восток,27.651097,53.934605
Московская,27.627462,53.928084
Парк Челюскинцев,27.613143,53.924288
Академия наук,27.599021,53.922098
Площадь Якуба Коласа,27.583759,53.915926
Площадь Победы,27.575270,53.909270
Октябрьская,27.561930,53.902263
Площадь Ленина,27.548114,53.893524
Институт Культуры,27.540352,53.886053
Каменная Горка,27.437414,53.906602
Кунцевщина,27.454231,53.906008
Спортивная,27.480758,53.908315
Пушкинская,27.497251,53.909429
Молодёжная,27.523617,53.906527
Фрунзенская,27.539319,53.905408
Немига,27.554007,53.905732
Купаловская,27.561714,53.900798
Первомайская,27.570949,53.893790
Пролетарская,27.586840,53.890372
Тракторный завод,27.614347,53.890123
Партизанская,27.629627,53.875353
Автозаводская,27.648105,53.868918
Могилёвская,27.673986,53.861798
